"","Year","Month","GEO","Value"
"479",2001," Nov","Toronto.Airport"," 60.2%"
"480",2001," Dec","Toronto.Airport"," 43%"
"481",2001," Jan","Vancouver.Island"," 40.4%"
"482",2001," Feb","Vancouver.Island"," 54.8%"
"483",2001," Mar","Vancouver.Island"," 65.6%"
"484",2001," Apr","Vancouver.Island"," 62.6%"
"485",2001," May","Vancouver.Island"," 66.6%"
"486",2001," Jun","Vancouver.Island"," 71.5%"
"487",2001," Jul","Vancouver.Island"," 76.9%"
"488",2001," Aug","Vancouver.Island"," 82.8%"
"489",2001," Sep","Vancouver.Island"," 64.6%"
"490",2001," Oct","Vancouver.Island"," 56.7%"
"491",2001," Nov","Vancouver.Island"," 47.6%"
"492",2001," Dec","Vancouver.Island"," 39.5%"
"493",2001," Jan","Whistler.Resort.Area"," 78.2%"
"494",2001," Feb","Whistler.Resort.Area"," 81.8%"
"495",2001," Mar","Whistler.Resort.Area"," 84%"
"496",2001," Apr","Whistler.Resort.Area"," 68.5%"
"497",2001," May","Whistler.Resort.Area"," 37.7%"
"498",2001," Jun","Whistler.Resort.Area"," 44.7%"
"499",2001," Jul","Whistler.Resort.Area"," 61.7%"
"500",2001," Aug","Whistler.Resort.Area"," 59%"
"501",2001," Sep","Whistler.Resort.Area"," 35.6%"
"502",2001," Oct","Whistler.Resort.Area"," 21.3%"
"503",2001," Nov","Whistler.Resort.Area"," 25.7%"
"504",2001," Dec","Whistler.Resort.Area"," 63%"
"505",2001," Jan","Windsor"," 55.2%"
"506",2001," Feb","Windsor"," 57.2%"
"507",2001," Mar","Windsor"," 74.9%"
"508",2001," Apr","Windsor"," 58.5%"
"509",2001," May","Windsor"," 61.4%"
"510",2001," Jun","Windsor"," 70.2%"
"511",2001," Jul","Windsor"," 66.7%"
"512",2001," Aug","Windsor"," 68%"
"513",2001," Sep","Windsor"," 53.3%"
"514",2001," Oct","Windsor"," 51.5%"
"515",2001," Nov","Windsor"," 53.5%"
"516",2001," Dec","Windsor"," 46.6%"
"517",2001," Jan","Winnipeg"," 50.9%"
"518",2001," Feb","Winnipeg"," 55.2%"
"519",2001," Mar","Winnipeg"," 59.4%"
"520",2001," Apr","Winnipeg"," 55.1%"
"521",2001," May","Winnipeg"," 60.9%"
"522",2001," Jun","Winnipeg"," 72.3%"
